773dcde was ruk3, 5 minutes ago, message: Added Joe's CrowdFollower
451ca48 was ruk3, 3 hours ago, message: Fixed Leader Follower Bugs
2e29cec was ruk3, 32 hours ago, message: Merge branch 'master' of https://github.com/ruk3/b4
0ba6d8b was ruk3, 32 hours ago, message: Merged Joe's Changes
ff5cf68 was jaytailor12, 32 hours ago, message: PursueNEvade
4954997 was jaytailor12, 35 hours ago, message: FollowTheLeader
6b2604d was ruk3, 4 days ago, message: Finished Part 1
375bf3e was ruk3, 5 days ago, message: Added Camera and Forces
67490e3 was Samuel S. Sohn, 10 days ago, message: added parameters and visualizations
9eefd81 was Samuel S. Sohn, 2 weeks ago, message: ready for release
5288475 was Samuel S. Sohn, 2 weeks ago, message: init commit
